Tattariharjuntie|25.03099,60.241
Korvasienentie|25.07699,60.27433
Tattariharjuntie|25.03104,60.24123
Lokitie|25.13588,60.21026
Ala-Malmin raitti|25.01551,60.24928
Lokitie|25.13594,60.20909
Haagan palvelutalo|24.88522,60.22855
Satamasaarentie|25.13492,60.21247
Satamasaarentie|25.13517,60.21147
Koukkusaarenpolku|25.13316,60.21597
Koukkusaarenpolku|25.13342,60.21508
Merikorttitie|25.13328,60.21844
Merikorttitie|25.13261,60.21717
Purjetie|25.13417,60.22095
Purjetie|25.13389,60.21977
Mustalahdentie|25.13528,60.22234
Punakiventie|25.14396,60.21053
Niemenmäki|24.88451,60.20308
Kantelettarentie|24.89275,60.23438
Valimo|24.87679,60.22054
Valimotie 15|24.87837,60.21922
Valimotie 15|24.87877,60.21857
Valimotie|24.87617,60.21562
Höyläämötie|24.8791,60.21437
Itäkeskus(M)|25.07621,60.20987
Leppätie|24.99443,60.25133
Ratavallintie|24.99455,60.24013
Eteläniitynpolku|24.99106,60.23944
Savela|24.98644,60.23819
Itäkeskus(M)|25.07681,60.20964
Pukinmäen asema|24.99408,60.24372
Varikkotie|25.06637,60.20982
Itäkeskus(M)|25.07627,60.20952
Madetojankuja|24.99081,60.24296
Ruotutorpankuja|25.00154,60.24617
Itäkeskus(M)|25.0768,60.21003
Puotinharju|25.08187,60.21211
Ukkostie|24.99734,60.24855
Haukilahdenkatu|24.96847,60.19909
Haukilahdenkatu|24.96938,60.19824
Atomitie|24.8672,60.22436
Meijeritie|24.8696,60.2258
Meijeritie|24.86806,60.22509
Marttila|24.87217,60.22716
Tilkka|24.90097,60.19905
Ukkostie|24.99755,60.24868
Tilkka|24.90094,60.19909
Kenttätie|24.99219,60.2479
Madetojankuja|24.99088,60.24297
Kilpisenpolku|24.98652,60.24493
Kilpisenpolku|24.98661,60.24488
Pukinmäenkaari|24.98685,60.25075
Pukinmäenkaari|24.98678,60.25129
Kenttätie|24.99163,60.24732
Kenttätie|24.99175,60.24716
Eskolantie|24.99451,60.24324
Eskolantie|24.99386,60.24398
Kytösuontie|24.8957,60.20406
Pukinmäen asema|24.9931,60.24167
Kytösuontie|24.8957,60.20406
Pukinmäen asema|24.99304,60.24236
Ruskeasuo|24.8984,60.2032
Säveltie|24.98608,60.2471
Ruskeasuo|24.8984,60.2032
Savela|24.99469,60.24113
Isonpellontie|24.97954,60.2399
Isonpellontie|24.97993,60.23991
Säveltie|24.98608,60.2471
Takkatie|24.86274,60.22251
Takkatie|24.86157,60.22108
Munkkivuori|24.88078,60.20663
Metrovarikko|25.06767,60.21265
Vaakatie|24.87708,60.22838
Metrovarikko|25.06794,60.21346
Vaakatie|24.87667,60.22844
Lassila|24.88174,60.23063
Kauppamyllyntie|25.06346,60.21602
Pohjois-Haagan asema|24.88338,60.23009
Kauppamyllyntie|25.06341,60.21594
Talin siirt.puutarha|24.86304,60.21991
Takomotie|24.87051,60.21694
Takomotie|24.86884,60.21776
Valimotie|24.87677,60.2149
Valimotie|24.87448,60.21574
Henrikintie|24.85057,60.22488
Lassila|24.8821,60.23079
Näyttelijäntie|24.88799,60.23296
Marttila|24.87405,60.22769
Itäkeskus(M)|25.07822,60.21024
Marttila|24.87358,60.227
Puotila(M)|25.09232,60.21477
Vihdintien silta|24.87771,60.22447
Vihdintien silta|24.87712,60.22527
Vanha talvitie|24.97314,60.18918
Itäkeskus(M)|25.07745,60.20975
Sörnäistenkatu|24.97368,60.19603
Sörnäistenkatu|24.97448,60.19523
Uimahalli|25.07667,60.21293
Itäkeskus(M)|25.07691,60.20956
Varikkotie|25.06617,60.20922
Itäkeskus(M)|25.07634,60.20942
Nyytorpinpolku|25.09324,60.21864
Arhotie|25.08592,60.21844
Korsholmantie|25.08321,60.21348
Vanhanlinnantie|25.08581,60.21472
Vanhanlinnantie|25.0882,60.21479
Ristikkokatu|24.9648,60.19261
Porvoonkatu|24.94693,60.18917
Suursuontie|24.93797,60.23407
Vanhanlinnantie|25.08826,60.21466
Niitynperäntie|24.87496,60.23181
Puotinharju|25.07999,60.21138
Niitynperäntie|24.87295,60.23202
Puotinharju|25.08114,60.21156
Niittykulmantie|24.87821,60.23255
Niittykulmantie|24.87776,60.23252
Itäkeskus(M)|25.07629,60.21035
Itäkeskus(M)|25.07602,60.21005
Laurinmäenkuja|24.88343,60.23257
Itäkeskus(M), tulo|25.07785,60.21033
Laurinmäenkuja|24.88346,60.23254
Orvokkitie|25.08941,60.21731
Killinkipolku|24.88487,60.22925
Itäkeskus(M), tulo|25.07796,60.21
Killinkipolku|24.88494,60.22923
Rantakartanontie|25.09587,60.21633
Arhotie|25.08351,60.21752
Suursuon sairaala|24.93412,60.23443
Maunula|24.93529,60.23168
Maunulanmäki|24.93191,60.23064
Maunulanmäki|24.93342,60.23062
Kuusikkotie|24.92902,60.22987
Kuusikkotie|24.92866,60.22967
Nimenemäentie|24.88347,60.20382
Vesakkotie|24.92567,60.2281
Vesakkotie|24.92673,60.22827
Niemenmäenkuja|24.88467,60.20423
Luuvaniementie|24.88359,60.2055
Metsäpuronkuja|24.92337,60.22898
Luuvaniementie|24.88362,60.20546
Metsäpuronkuja|24.92372,60.22883
Östersundom|25.17398,60.2514
Arhotie|25.08378,60.21775
Puotila(M)|25.09017,60.21533
Puotila(M)|25.09193,60.21557
Ratasmyllyntie|25.06699,60.20887
Ratasmyllyntie|25.06718,60.20879
Itäkeskus(M)|25.0766,60.21008
Orvokkitie|25.08989,60.21683
Itäkeskus(M), tulo|25.07608,60.20993
Olavinlinnanpolku|25.0742,60.21411
Ruusuniementie|25.17303,60.21047
Vesakkotie|24.92667,60.22772
Vuosaarenlahti|25.17498,60.20827
Östersundom|25.17507,60.25129
Koivikkotie|24.9307,60.22526
Koivikkotie|24.93073,60.22544
Hansaterminaali|25.17535,60.2215
Majakanvartijankatu|25.17034,60.21282
Hansaterminaali|25.17535,60.2215
Voimalaitokset|25.17245,60.21917
Voimalaitokset|25.1732,60.21917
Rajametsäntie|24.93351,60.2268
Pirjontie|24.93171,60.23351
Männikkötie|24.9264,60.2265
Maunula|24.93386,60.23179
Paanutie|24.9378,60.23011
Paanutie|24.93839,60.2301
Männikkötie|24.92982,60.22526
Porvoonkatu|24.94694,60.18944
Porvoonkatu|24.94719,60.19007
Kulttuuritalo|24.94428,60.18774
Kulttuuritalo|24.94385,60.18724
Savonkatu|24.93699,60.19545
Savonkatu|24.93578,60.19505
Sipoonkatu|24.94076,60.1942
Karjalankatu|24.93641,60.19225
Karjalankatu|24.93607,60.19244
Alppila|24.94101,60.19117
Alppila|24.9406,60.19124
Kotkankatu|24.94461,60.19255
Sturenkatu|24.94875,60.19087
Linnanmäki|24.94185,60.18643
Linnanmäki|24.94121,60.18642
Käpylä/VR|24.94735,60.22033
Vanhakaupunki|24.979,60.21705
Vanhakaupunki|24.98016,60.21611
Vanhakaupunki|24.98108,60.21715
Annalantie|24.97917,60.21316
Annalantie|24.97844,60.21252
Tuomarinkartanontie|24.95801,60.25601
Tuomarinkartanontie|24.95927,60.25699
Yhdyskunnantie|24.95304,60.2549
Yhdyskunnantie|24.95468,60.25465
Pasila/VR|24.93274,60.19902
Pasila/VR|24.93379,60.19913
Käpylä/VR|24.94735,60.22033
Lukupolku|24.96204,60.25122
Puotila|25.09377,60.21449
Puotila|25.09377,60.21449
Malminkartano/VR|24.8612,60.24928
Korppaanmäki|24.89267,60.20814
Korppaanmäki|24.89229,60.20783
Haapalahdenkatu|24.89238,60.20543
Haapalahdenkatu|24.89238,60.20543
Jakokunnantie 33|24.94492,60.24199
Jakokunnantie 33|24.94512,60.24206
Ripusuontie|24.94298,60.24711
Ripusuontie|24.94325,60.2466
Halkosuontie|24.94407,60.24408
